city_ascii,lat,lng,country,iso3,population
Tokyo,35.685,139.7514,Japan,JPN,35676000.0
New York,40.6943,-73.9249,United States,USA,19354922.0
Mexico City,19.4424,-99.131,Mexico,MEX,19028000.0
Mumbai,19.017,72.857,India,IND,18978000.0
Sao Paulo,-23.5587,-46.625,Brazil,BRA,18845000.0
Delhi,28.67,77.23,India,IND,15926000.0
Shanghai,31.2165,121.4365,China,CHN,14987000.0
Kolkata,22.495,88.3247,India,IND,14787000.0
Los Angeles,34.1139,-118.4068,United States,USA,12815475.0
Dhaka,23.7231,90.4086,Bangladesh,BGD,12797394.0
Buenos Aires,-34.6025,-58.3975,Argentina,ARG,12795000.0
Karachi,24.87,66.99,Pakistan,PAK,12130000.0
Cairo,30.05,31.25,Egypt,EGY,11893000.0
Rio de Janeiro,-22.925,-43.225,Brazil,BRA,11748000.0
Osaka,34.75,135.4601,Japan,JPN,11294000.0
Beijing,39.9289,116.3883,China,CHN,11106000.0
Manila,14.6042,120.9822,Philippines,PHL,11100000.0
Moscow,55.7522,37.6155,Russia,RUS,10452000.0
Istanbul,41.105,29.01,Turkey,TUR,10061000.0
Paris,48.8667,2.3333,France,FRA,9904000.0
Seoul,37.5663,126.9997,"Korea, South",KOR,9796000.0
Lagos,6.4433,3.3915,Nigeria,NGA,9466000.0
Jakarta,-6.1744,106.8294,Indonesia,IDN,9125000.0
Guangzhou,23.145,113.325,China,CHN,8829000.0
Chicago,41.8373,-87.6862,United States,USA,8675982.0
London,51.5,-0.1167,United Kingdom,GBR,8567000.0
Lima,-12.048,-77.0501,Peru,PER,8012000.0
Tehran,35.6719,51.4243,Iran,IRN,7873000.0
Kinshasa,-4.3297,15.315,Congo (Kinshasa),COD,7843000.0
Bogota,4.5964,-74.0833,Colombia,COL,7772000.0
Shenzhen,22.5524,114.1221,China,CHN,7581000.0
Wuhan,30.58,114.27,China,CHN,7243000.0
Hong Kong,22.305,114.185,Hong Kong,HKG,7206000.0
Tianjin,39.13,117.2,China,CHN,7180000.0
Chennai,13.09,80.28,India,IND,7163000.0
Taipei,25.0358,121.5683,Taiwan,TWN,6900273.0
Bengaluru,12.97,77.56,India,IND,6787000.0
Bangkok,13.75,100.5166,Thailand,THA,6704000.0
Lahore,31.56,74.35,Pakistan,PAK,6577000.0
Chongqing,29.565,106.595,China,CHN,6461000.0
Miami,25.7839,-80.2102,United States,USA,6381966.0
